As of Date,Fiscal Year,Region,Borrower Country / Economy,Borrower Country / Economy Code,Project ID,Project Name,Procurement Category,Procurement Method,Project Global Practice,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country / Economy,Supplier Country / Economy Code,Supplier Contract Amount (USD),Borrower Contract Reference Number,Review type,Supplier ID
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1588770,REHABILITATION OF THE KIPEVU WASTEWATER TREATMENT PLANT   (WWTP and Pumping Stations),09/09/2019,WARDY COMMUNICATIONS LIMITED,Kenya,KE,3376478.190000,KE-MOWASCO-16771-CW-RFB,Post,398554
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1588815,IMPROVEMENT OF STORMWATER OUTLETS & COMBINED SEWER OVERFLOWS IN MOMBASA ISLAND,12/09/2019,ADEQUATE MACHINERY CONSTRUCTION LIMITED,Kenya,KE,4496488.230000,KE-MOWASCO-16772-CW-RFB,Post,398561
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Goods,Request for Bids,Info & Communication;Transportation;Industry & Trade/Ser,1591412,"SUPPLY, DELIVERY AND INSTALLATION OF DISASTER RECOVERY SITE/ENHANCED INFORMATION SECURITY SOLUTIONS FOR NATIONAL TRANSPORT AND SAFETY AUTHORITY",09/27/2019,TRANSBUSINESS MACHINES,Kenya,KE,4377269.260000,KE-NTSA-91553-GO-RFB,Prior,384924
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1591456,Rehabilitation and Extension of Mombasa Water Supply Distribution Works - Lot 2B,09/03/2019,VAMBECO ENTERPRISES LIMITED,Kenya,KE,7768029.460000,KE-MOWASCO-16769-CW-RFB,Prior,398556
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Consultant Services,Quality And Cost-Based Selection,Info & Communication;Transportation;Industry & Trade/Ser,1591485,Consulting Services for Design Review and Construction Supervision of the Lokichar - Loichangamatak Road (A1),09/06/2019,INTERCONTINENTAL CONSULTANTS AND TECHNOCRATS PRIVATE LIMITED,India,IN,2556303.080000,KeNHA/RD/CS/D/2023/2019,Prior,126048
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Consultant Services,Quality And Cost-Based Selection,Info & Communication;Transportation;Industry & Trade/Ser,1591485,Consulting Services for Design Review and Construction Supervision of the Lokichar - Loichangamatak Road (A1),09/06/2019,ITEC ENGINEERING LIMITED,Kenya,KE,2556303.080000,KeNHA/RD/CS/D/2023/2019,Prior,372690
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Works,Request for Bids,Agriculture;Water/Sanit/Waste,1591861,Construction of Mwache Multi-purpose Dam,08/14/2019,SINOHYDRO CORPORATION LIMITED (中国水利水电建设集团国际工程有限公司),China,CN,133128376.880000,KE-MOWI-16586-CW-RFB,Prior,307880
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Consultant Services,Quality And Cost-Based Selection,Energy & Extractives,1592582,Consultancy Services for Institutional Development of the Petroleum Regulatory Authority in Kenya,07/09/2019,HOUSTON INTERNATIONAL BUSINESS CORP,United States,US,336700.000000,KE-MOE-40134-CS-QCBS,Post,841985
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P113542,Kenya Informal Settlements Improvement Project (KISIP),Goods,Request for Bids,Public Admin;Transportation;Water/Sanit/Waste,1592767,"CONSTRUCTION OF MACHAKOS TOWN INFORMAL SETTLEMENT’S INFRASTRUCTURE IMPROVEMENT WORKS (WASTE WATER PUMP SUPPLY, INSTALLATION, TESTING AND COMMISSIONING)",08/28/2019,ALDAN INTERNATIONAL CO. LTD,Kenya,KE,90201.960000,KE-MOTI-89756-GO-RFB,Post,335364
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Consultant Services,Quality And Cost-Based Selection,Energy & Extractives,1592870,Consultancy services for geoscience data acquisition and interpretation plan to promote exploration investments,08/19/2019,BEICIP-FRANLAB HQ IN ASSOCIATION WITH CAYAMBE PARTNER,France,FR,837287.320000,KE-MOE-40123-CS-QCBS,Post,347316
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Consultant Services,Quality And Cost-Based Selection,Energy & Extractives,1592938,Consultancy services to undertake hydrocarbon reserves audit and to develop competent persons` report for the oil assets in Block 10BB and 13T.,08/19/2019,"NETHERLAND,SEWELL & ASSOCIATES INC.",United States,US,372000.000000,KE-MOE-26651-CS-QCBS,Post,382437
